trial,trial_type,intended_slider_value,n_chopping_boards,n_counters,model_agents,model_model,model_recipe,model_seed,model_settings,timesteps,agent_pauses,agent_collisions,was_successful
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,10,agents=2-model=bd_bd-recipe=Salad,21,11,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,11,agents=2-model=bd_bd-recipe=Salad,21,8,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,12,agents=2-model=bd_bd-recipe=Salad,21,4,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,13,agents=2-model=bd_bd-recipe=Salad,24,8,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,14,agents=2-model=bd_bd-recipe=Salad,21,13,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,15,agents=2-model=bd_bd-recipe=Salad,21,9,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,16,agents=2-model=bd_bd-recipe=Salad,21,12,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,17,agents=2-model=bd_bd-recipe=Salad,22,12,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,18,agents=2-model=bd_bd-recipe=Salad,23,13,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,19,agents=2-model=bd_bd-recipe=Salad,21,13,0,True
trial_03,cooks,12.5,1,9,2,bd_bd,Salad,20,agents=2-model=bd_bd-recipe=Salad,23,8,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,1,agents=2-model=centralized_centralized-recipe=Salad,21,11,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,2,agents=2-model=centralized_centralized-recipe=Salad,21,11,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,3,agents=2-model=centralized_centralized-recipe=Salad,23,15,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,4,agents=2-model=centralized_centralized-recipe=Salad,21,11,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,5,agents=2-model=centralized_centralized-recipe=Salad,23,15,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,6,agents=2-model=centralized_centralized-recipe=Salad,21,11,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,7,agents=2-model=centralized_centralized-recipe=Salad,23,15,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,8,agents=2-model=centralized_centralized-recipe=Salad,23,15,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,9,agents=2-model=centralized_centralized-recipe=Salad,23,16,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,10,agents=2-model=centralized_centralized-recipe=Salad,22,13,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,11,agents=2-model=centralized_centralized-recipe=Salad,23,15,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,12,agents=2-model=centralized_centralized-recipe=Salad,23,15,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,13,agents=2-model=centralized_centralized-recipe=Salad,21,11,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,14,agents=2-model=centralized_centralized-recipe=Salad,23,15,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,15,agents=2-model=centralized_centralized-recipe=Salad,23,15,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,16,agents=2-model=centralized_centralized-recipe=Salad,21,11,0,True
